course_name,course_link,course_description,price,starting_date,delivery_mode,number_of_lessons,total_duration_hours,target_audience
Practical Supply Chain Analytics,https://vizaura.ai/courses/practical-supply-chain-analytics-19,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,13,31,Consultants
Applied Procurement Analytics,https://vizaura.ai/courses/applied-procurement-analytics-20,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,21,35,Beginner professionals
Applied Digital Transformation Operations,https://vizaura.ai/courses/applied-digital-transformation-operations-21,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",7999,2026-05-01,Live,29,42,Mid-level managers
Advanced Procurement Modeling,https://vizaura.ai/courses/advanced-procurement-modeling-22,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,25,30,Data analysts
Strategic Digital Transformation Insights,https://vizaura.ai/courses/strategic-digital-transformation-insights-23,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",14999,2026-04-12,Live,29,41,Engineers
Strategic Energy Strategy,https://vizaura.ai/courses/strategic-energy-strategy-24,"Comprehensive course on energy covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,13,20,Consultants
Applied Analytics Operations,https://vizaura.ai/courses/applied-analytics-operations-25,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,19,28,Mid-level managers
Fundamentals of Finance Analytics,https://vizaura.ai/courses/fundamentals-of-finance-analytics-26,"Comprehensive course on finance covering real-world applications, tools, and case studies.",7999,2026-06-11,Live,17,30,Consultants
Advanced Analytics Strategy,https://vizaura.ai/courses/advanced-analytics-strategy-27,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,2026-04-06,Live,29,35,Consultants
Practical Supply Chain Modeling,https://vizaura.ai/courses/practical-supply-chain-modeling-28,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",7999,2026-05-08,Live,26,44,Data analysts
Practical Finance Analytics,https://vizaura.ai/courses/practical-finance-analytics-29,"Comprehensive course on finance covering real-world applications, tools, and case studies.",19999,2026-04-21,Live,16,26,Consultants
Advanced Energy Analytics,https://vizaura.ai/courses/advanced-energy-analytics-30,"Comprehensive course on energy covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,25,42,Engineers
Applied Procurement Analytics,https://vizaura.ai/courses/applied-procurement-analytics-31,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",24999,2026-05-08,Live,14,29,Senior leaders
Practical Procurement Modeling,https://vizaura.ai/courses/practical-procurement-modeling-32,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",4999,2026-05-28,Live,22,31,Consultants
Strategic Procurement Analytics,https://vizaura.ai/courses/strategic-procurement-analytics-33,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",9999,2026-05-25,Live,26,34,Mid-level managers
Fundamentals of AI Insights,https://vizaura.ai/courses/fundamentals-of-ai-insights-34,"Comprehensive course on ai covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,20,36,Consultants
Advanced Energy Strategy,https://vizaura.ai/courses/advanced-energy-strategy-35,"Comprehensive course on energy covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,28,48,Consultants
Advanced Digital Transformation Analytics,https://vizaura.ai/courses/advanced-digital-transformation-analytics-36,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",17999,2026-05-18,Live,14,23,Mid-level managers
Advanced Energy Strategy,https://vizaura.ai/courses/advanced-energy-strategy-37,"Comprehensive course on energy covering real-world applications, tools, and case studies.",12999,2026-04-23,Live,14,25,Mid-level managers
Strategic Analytics Analytics,https://vizaura.ai/courses/strategic-analytics-analytics-38,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",19999,2026-04-04,Live,16,31,Data analysts
Advanced Digital Transformation Analytics,https://vizaura.ai/courses/advanced-digital-transformation-analytics-39,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,26,35,Senior leaders
Practical Supply Chain Strategy,https://vizaura.ai/courses/practical-supply-chain-strategy-40,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",19999,2026-06-18,Live,13,21,Consultants
Practical Energy Analytics,https://vizaura.ai/courses/practical-energy-analytics-41,"Comprehensive course on energy covering real-world applications, tools, and case studies.",17999,2026-05-14,Live,30,41,Engineers
Advanced Energy Insights,https://vizaura.ai/courses/advanced-energy-insights-42,"Comprehensive course on energy covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,15,33,Engineers
Strategic AI Strategy,https://vizaura.ai/courses/strategic-ai-strategy-43,"Comprehensive course on ai covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,21,27,Engineers
Strategic Analytics Operations,https://vizaura.ai/courses/strategic-analytics-operations-44,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,25,40,Mid-level managers
Practical Finance Analytics,https://vizaura.ai/courses/practical-finance-analytics-45,"Comprehensive course on finance covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,12,18,Data analysts
Strategic Supply Chain Operations,https://vizaura.ai/courses/strategic-supply-chain-operations-46,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",12999,2026-05-11,Live,24,44,Consultants
Applied Procurement Strategy,https://vizaura.ai/courses/applied-procurement-strategy-47,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",19999,2026-06-11,Live,21,39,Beginner professionals
Strategic Digital Transformation Strategy,https://vizaura.ai/courses/strategic-digital-transformation-strategy-48,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,27,43,Data analysts
Practical Analytics Analytics,https://vizaura.ai/courses/practical-analytics-analytics-49,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,2026-05-04,Live,17,33,Data analysts
Advanced Energy Analytics,https://vizaura.ai/courses/advanced-energy-analytics-50,"Comprehensive course on energy covering real-world applications, tools, and case studies.",12999,2026-04-09,Live,25,33,Mid-level managers
Advanced Analytics Modeling,https://vizaura.ai/courses/advanced-analytics-modeling-51,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,20,35,Mid-level managers
Strategic Analytics Insights,https://vizaura.ai/courses/strategic-analytics-insights-52,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,14,20,Data analysts
Strategic Analytics Insights,https://vizaura.ai/courses/strategic-analytics-insights-53,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,2026-04-29,Live,30,38,Beginner professionals
Fundamentals of Supply Chain Modeling,https://vizaura.ai/courses/fundamentals-of-supply-chain-modeling-54,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",14999,2026-04-09,Live,13,25,Mid-level managers
Fundamentals of Finance Operations,https://vizaura.ai/courses/fundamentals-of-finance-operations-55,"Comprehensive course on finance covering real-world applications, tools, and case studies.",17999,2026-05-04,Live,23,33,Beginner professionals
Strategic Procurement Modeling,https://vizaura.ai/courses/strategic-procurement-modeling-56,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,18,34,Engineers
Practical Analytics Strategy,https://vizaura.ai/courses/practical-analytics-strategy-57,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,16,28,Beginner professionals
Practical Digital Transformation Modeling,https://vizaura.ai/courses/practical-digital-transformation-modeling-58,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,16,22,Consultants
Fundamentals of Supply Chain Analytics,https://vizaura.ai/courses/fundamentals-of-supply-chain-analytics-59,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",14999,2026-04-30,Live,24,41,Senior leaders
Applied Analytics Analytics,https://vizaura.ai/courses/applied-analytics-analytics-60,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,2026-05-28,Live,25,35,Engineers
Fundamentals of Analytics Operations,https://vizaura.ai/courses/fundamentals-of-analytics-operations-61,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,13,31,Beginner professionals
Strategic Digital Transformation Modeling,https://vizaura.ai/courses/strategic-digital-transformation-modeling-62,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",19999,2026-04-18,Live,17,22,Consultants
Practical AI Insights,https://vizaura.ai/courses/practical-ai-insights-63,"Comprehensive course on ai covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,20,26,Senior leaders
Strategic Digital Transformation Modeling,https://vizaura.ai/courses/strategic-digital-transformation-modeling-64,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,30,40,Beginner professionals
Applied Supply Chain Modeling,https://vizaura.ai/courses/applied-supply-chain-modeling-65,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,28,33,Senior leaders
Applied Analytics Operations,https://vizaura.ai/courses/applied-analytics-operations-66,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,15,21,Beginner professionals
Fundamentals of Supply Chain Modeling,https://vizaura.ai/courses/fundamentals-of-supply-chain-modeling-67,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,27,37,Consultants
Advanced Analytics Analytics,https://vizaura.ai/courses/advanced-analytics-analytics-68,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,21,37,Engineers
Fundamentals of AI Modeling,https://vizaura.ai/courses/fundamentals-of-ai-modeling-69,"Comprehensive course on ai covering real-world applications, tools, and case studies.",9999,2026-05-05,Live,23,42,Beginner professionals
Practical Digital Transformation Operations,https://vizaura.ai/courses/practical-digital-transformation-operations-70,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",24999,2026-06-06,Live,22,39,Mid-level managers
Practical AI Analytics,https://vizaura.ai/courses/practical-ai-analytics-71,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,29,42,Consultants
Strategic Analytics Analytics,https://vizaura.ai/courses/strategic-analytics-analytics-72,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",14999,2026-06-02,Live,14,24,Beginner professionals
Practical Energy Modeling,https://vizaura.ai/courses/practical-energy-modeling-73,"Comprehensive course on energy covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,17,33,Data analysts
Applied Procurement Insights,https://vizaura.ai/courses/applied-procurement-insights-74,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,13,22,Mid-level managers
Applied Digital Transformation Modeling,https://vizaura.ai/courses/applied-digital-transformation-modeling-75,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",4999,2026-06-05,Live,27,33,Consultants
Advanced Procurement Operations,https://vizaura.ai/courses/advanced-procurement-operations-76,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",14999,2026-05-23,Live,22,39,Data analysts
Applied Finance Analytics,https://vizaura.ai/courses/applied-finance-analytics-77,"Comprehensive course on finance covering real-world applications, tools, and case studies.",9999,2026-04-17,Live,25,30,Mid-level managers
Practical Finance Operations,https://vizaura.ai/courses/practical-finance-operations-78,"Comprehensive course on finance covering real-world applications, tools, and case studies.",19999,2026-05-19,Live,15,22,Engineers
Advanced Digital Transformation Operations,https://vizaura.ai/courses/advanced-digital-transformation-operations-79,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,29,44,Beginner professionals
Practical Analytics Insights,https://vizaura.ai/courses/practical-analytics-insights-80,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,26,35,Engineers
Advanced Supply Chain Analytics,https://vizaura.ai/courses/advanced-supply-chain-analytics-81,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,24,36,Consultants
Applied Energy Modeling,https://vizaura.ai/courses/applied-energy-modeling-82,"Comprehensive course on energy covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,16,23,Senior leaders
Fundamentals of Procurement Operations,https://vizaura.ai/courses/fundamentals-of-procurement-operations-83,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",24999,2026-04-23,Live,17,27,Consultants
Applied Finance Analytics,https://vizaura.ai/courses/applied-finance-analytics-84,"Comprehensive course on finance covering real-world applications, tools, and case studies.",14999,2026-05-19,Live,18,25,Engineers
Strategic Supply Chain Modeling,https://vizaura.ai/courses/strategic-supply-chain-modeling-85,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,13,25,Engineers
Practical Digital Transformation Operations,https://vizaura.ai/courses/practical-digital-transformation-operations-86,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",7999,2026-04-09,Live,25,44,Consultants
Strategic AI Operations,https://vizaura.ai/courses/strategic-ai-operations-87,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,28,42,Engineers
Fundamentals of Digital Transformation Insights,https://vizaura.ai/courses/fundamentals-of-digital-transformation-insights-88,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,25,32,Mid-level managers
Strategic Analytics Modeling,https://vizaura.ai/courses/strategic-analytics-modeling-89,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,2026-04-10,Live,25,32,Engineers
Practical Analytics Modeling,https://vizaura.ai/courses/practical-analytics-modeling-90,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",19999,2026-06-08,Live,12,23,Beginner professionals
Applied Supply Chain Strategy,https://vizaura.ai/courses/applied-supply-chain-strategy-91,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,30,42,Consultants
Applied Digital Transformation Strategy,https://vizaura.ai/courses/applied-digital-transformation-strategy-92,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,21,28,Mid-level managers
Strategic Procurement Strategy,https://vizaura.ai/courses/strategic-procurement-strategy-93,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,14,20,Beginner professionals
Advanced AI Analytics,https://vizaura.ai/courses/advanced-ai-analytics-94,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,2026-04-20,Live,20,26,Senior leaders
Fundamentals of Digital Transformation Insights,https://vizaura.ai/courses/fundamentals-of-digital-transformation-insights-95,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,29,35,Data analysts
Advanced Finance Insights,https://vizaura.ai/courses/advanced-finance-insights-96,"Comprehensive course on finance covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,25,42,Senior leaders
Advanced Energy Strategy,https://vizaura.ai/courses/advanced-energy-strategy-97,"Comprehensive course on energy covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,14,19,Beginner professionals
Advanced Digital Transformation Operations,https://vizaura.ai/courses/advanced-digital-transformation-operations-98,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,13,21,Consultants
Applied Supply Chain Analytics,https://vizaura.ai/courses/applied-supply-chain-analytics-99,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",17999,2026-05-20,Live,29,39,Mid-level managers
Advanced Finance Analytics,https://vizaura.ai/courses/advanced-finance-analytics-100,"Comprehensive course on finance covering real-world applications, tools, and case studies.",19999,2026-04-24,Live,22,31,Mid-level managers
Practical Energy Strategy,https://vizaura.ai/courses/practical-energy-strategy-101,"Comprehensive course on energy covering real-world applications, tools, and case studies.",19999,2026-06-14,Live,14,26,Consultants
Practical AI Insights,https://vizaura.ai/courses/practical-ai-insights-102,"Comprehensive course on ai covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,12,18,Consultants
Practical Finance Insights,https://vizaura.ai/courses/practical-finance-insights-103,"Comprehensive course on finance covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,21,35,Mid-level managers
Fundamentals of Supply Chain Strategy,https://vizaura.ai/courses/fundamentals-of-supply-chain-strategy-104,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",24999,2026-04-11,Live,20,31,Mid-level managers
Advanced Finance Modeling,https://vizaura.ai/courses/advanced-finance-modeling-105,"Comprehensive course on finance covering real-world applications, tools, and case studies.",17999,Self-paced,Self-paced,29,43,Mid-level managers
Applied Digital Transformation Operations,https://vizaura.ai/courses/applied-digital-transformation-operations-106,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,23,43,Engineers
Fundamentals of Analytics Analytics,https://vizaura.ai/courses/fundamentals-of-analytics-analytics-107,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,17,28,Senior leaders
Applied Supply Chain Analytics,https://vizaura.ai/courses/applied-supply-chain-analytics-108,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,23,35,Mid-level managers
Practical AI Insights,https://vizaura.ai/courses/practical-ai-insights-109,"Comprehensive course on ai covering real-world applications, tools, and case studies.",7999,2026-04-09,Live,29,45,Consultants
Advanced Supply Chain Strategy,https://vizaura.ai/courses/advanced-supply-chain-strategy-110,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,24,40,Consultants
Advanced AI Analytics,https://vizaura.ai/courses/advanced-ai-analytics-111,"Comprehensive course on ai covering real-world applications, tools, and case studies.",17999,2026-04-15,Live,30,35,Mid-level managers
Strategic Digital Transformation Strategy,https://vizaura.ai/courses/strategic-digital-transformation-strategy-112,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",24999,2026-06-05,Live,25,32,Senior leaders
Strategic AI Operations,https://vizaura.ai/courses/strategic-ai-operations-113,"Comprehensive course on ai covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,17,24,Consultants
Fundamentals of AI Modeling,https://vizaura.ai/courses/fundamentals-of-ai-modeling-114,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,2026-04-04,Live,17,35,Beginner professionals
Fundamentals of Energy Analytics,https://vizaura.ai/courses/fundamentals-of-energy-analytics-115,"Comprehensive course on energy covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,13,31,Beginner professionals
Advanced Supply Chain Modeling,https://vizaura.ai/courses/advanced-supply-chain-modeling-116,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",7999,2026-04-21,Live,14,30,Data analysts
Strategic Supply Chain Operations,https://vizaura.ai/courses/strategic-supply-chain-operations-117,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",7999,2026-04-03,Live,13,30,Engineers
Applied AI Strategy,https://vizaura.ai/courses/applied-ai-strategy-118,"Comprehensive course on ai covering real-world applications, tools, and case studies.",7999,Self-paced,Self-paced,30,44,Consultants
Strategic Digital Transformation Strategy,https://vizaura.ai/courses/strategic-digital-transformation-strategy-119,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",9999,2026-04-29,Live,16,21,Senior leaders
Applied Supply Chain Analytics,https://vizaura.ai/courses/applied-supply-chain-analytics-120,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,28,41,Mid-level managers
Advanced Energy Analytics,https://vizaura.ai/courses/advanced-energy-analytics-121,"Comprehensive course on energy covering real-world applications, tools, and case studies.",17999,2026-04-26,Live,21,26,Consultants
Strategic Analytics Insights,https://vizaura.ai/courses/strategic-analytics-insights-122,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,16,23,Data analysts
Strategic Finance Insights,https://vizaura.ai/courses/strategic-finance-insights-123,"Comprehensive course on finance covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,21,26,Engineers
Advanced Analytics Modeling,https://vizaura.ai/courses/advanced-analytics-modeling-124,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,30,41,Mid-level managers
Practical Analytics Strategy,https://vizaura.ai/courses/practical-analytics-strategy-125,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,25,33,Senior leaders
Applied AI Modeling,https://vizaura.ai/courses/applied-ai-modeling-126,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,2026-06-16,Live,17,25,Consultants
Advanced Analytics Modeling,https://vizaura.ai/courses/advanced-analytics-modeling-127,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",9999,2026-04-24,Live,16,24,Consultants
Practical Finance Strategy,https://vizaura.ai/courses/practical-finance-strategy-128,"Comprehensive course on finance covering real-world applications, tools, and case studies.",9999,2026-06-05,Live,20,27,Senior leaders
Advanced Finance Analytics,https://vizaura.ai/courses/advanced-finance-analytics-129,"Comprehensive course on finance covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,14,22,Mid-level managers
Strategic Supply Chain Modeling,https://vizaura.ai/courses/strategic-supply-chain-modeling-130,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",17999,2026-06-14,Live,20,39,Senior leaders
Advanced Energy Insights,https://vizaura.ai/courses/advanced-energy-insights-131,"Comprehensive course on energy covering real-world applications, tools, and case studies.",19999,2026-04-05,Live,25,37,Senior leaders
Applied Digital Transformation Strategy,https://vizaura.ai/courses/applied-digital-transformation-strategy-132,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,19,36,Consultants
Advanced Energy Operations,https://vizaura.ai/courses/advanced-energy-operations-133,"Comprehensive course on energy covering real-world applications, tools, and case studies.",7999,2026-04-11,Live,19,26,Engineers
Practical Finance Analytics,https://vizaura.ai/courses/practical-finance-analytics-134,"Comprehensive course on finance covering real-world applications, tools, and case studies.",17999,2026-06-04,Live,14,28,Consultants
Strategic Procurement Analytics,https://vizaura.ai/courses/strategic-procurement-analytics-135,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",9999,2026-04-15,Live,26,43,Senior leaders
Advanced Digital Transformation Analytics,https://vizaura.ai/courses/advanced-digital-transformation-analytics-136,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,25,35,Engineers
Strategic Finance Modeling,https://vizaura.ai/courses/strategic-finance-modeling-137,"Comprehensive course on finance covering real-world applications, tools, and case studies.",4999,2026-06-12,Live,28,37,Senior leaders
Strategic Supply Chain Modeling,https://vizaura.ai/courses/strategic-supply-chain-modeling-138,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",7999,2026-05-12,Live,19,30,Engineers
Advanced Energy Analytics,https://vizaura.ai/courses/advanced-energy-analytics-139,"Comprehensive course on energy covering real-world applications, tools, and case studies.",19999,2026-05-31,Live,25,35,Beginner professionals
Advanced AI Analytics,https://vizaura.ai/courses/advanced-ai-analytics-140,"Comprehensive course on ai covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,28,42,Senior leaders
Strategic Procurement Insights,https://vizaura.ai/courses/strategic-procurement-insights-141,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",9999,2026-05-14,Live,21,31,Data analysts
Applied Supply Chain Insights,https://vizaura.ai/courses/applied-supply-chain-insights-142,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",9999,2026-04-07,Live,19,27,Engineers
Fundamentals of Procurement Strategy,https://vizaura.ai/courses/fundamentals-of-procurement-strategy-143,"Comprehensive course on procurement covering real-world applications, tools, and case studies.",24999,2026-05-08,Live,21,41,Consultants
Advanced Digital Transformation Analytics,https://vizaura.ai/courses/advanced-digital-transformation-analytics-144,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",19999,2026-05-18,Live,26,32,Beginner professionals
Advanced Finance Strategy,https://vizaura.ai/courses/advanced-finance-strategy-145,"Comprehensive course on finance covering real-world applications, tools, and case studies.",19999,2026-05-18,Live,23,29,Data analysts
Fundamentals of AI Insights,https://vizaura.ai/courses/fundamentals-of-ai-insights-146,"Comprehensive course on ai covering real-world applications, tools, and case studies.",24999,2026-05-06,Live,20,37,Consultants
Applied Finance Modeling,https://vizaura.ai/courses/applied-finance-modeling-147,"Comprehensive course on finance covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,23,34,Engineers
